U_TIME,HUMAN_TIME,MESSAGE,STAGE,P/NP
1689870102158726000,17:21:42.158728,H,UKULELE,NP
1689870112159873000,17:21:52.160366,H,UKULELE,NP
1689870122161719000,17:22:02.162913,H,UKULELE,NP
1689870132163669000,17:22:12.164767,H,UKULELE,NP
1689870142166345000,17:22:22.166902,H,UKULELE,NP
1689870152168361000,17:22:32.168612,H,UKULELE,NP
1689870162170154000,17:22:42.170727,H,UKULELE,NP
1689870172172320000,17:22:52.172892,H,UKULELE,NP
1689870182174450000,17:23:02.175048,H,UKULELE,NP
1689870192176057000,17:23:12.176567,H,UKULELE,NP
1689870202177068000,17:23:22.177840,H,UKULELE,NP
1689870212179074000,17:23:32.179626,H,UKULELE,NP
1689870222181158000,17:23:42.181758,H,UKULELE,NP
1689870232182599000,17:23:52.183205,H,UKULELE,NP
1689870242184770000,17:24:02.185375,H,UKULELE,NP
1689870252186046000,17:24:12.186685,H,UKULELE,NP
1689870262187959000,17:24:22.188572,H,UKULELE,NP
1689870272189567000,17:24:32.190231,H,UKULELE,NP
1689870279712966000,17:24:39.713576,FULL HOUSE,UKULELE,NP
1689870282191135000,17:24:42.191591,H,UKULELE,NP
1689870283793265000,17:24:43.793869,MISSING J,UKULELE,NP
1689870292192255000,17:24:52.193679,H,THE_DANCE,NP
1689870302194012000,17:25:02.194622,H,THE_DANCE,NP
1689870312196212000,17:25:12.196940,H,THE_DANCE,NP
1689870322198548000,17:25:22.199162,H,THE_DANCE,NP
1689870332200652000,17:25:32.201051,H,THE_DANCE,NP
1689870342201766000,17:25:42.202800,H,THE_DANCE,NP
1689870352204206000,17:25:52.204490,H,THE_DANCE,NP
1689870362205928000,17:26:02.206468,H,THE_DANCE,NP
1689870372208070000,17:26:12.208494,H,THE_DANCE,NP
1689870374048682000,17:26:14.049130,LAUGHING,THE_DANCE,NP
1689870382209964000,17:26:22.210497,H,THE_DANCE,NP
1689870392211961000,17:26:32.212367,H,THE_DANCE,NP
1689870398461317000,17:26:38.461898,PHONE VIBRATE AUDIANCE,THE_DANCE,NP
1689870402213417000,17:26:42.213914,H,THE_DANCE,NP
