U_TIME,HUMAN_TIME,MESSAGE,STAGE,P/NP
1690294557283078000,15:15:57.283080,H,UKULELE,NP
1690294567283499000,15:16:07.283545,H,RITUAL_DANCE,NP
1690294577285048000,15:16:17.285850,H,RITUAL_DANCE,NP
1690294587287308000,15:16:27.287832,H,RITUAL_DANCE,NP
1690294597289491000,15:16:37.290053,H,RITUAL_DANCE,NP
1690294607291626000,15:16:47.292012,H,RITUAL_DANCE,NP
1690294617293350000,15:16:57.293857,H,RITUAL_DANCE,NP
1690294627295300000,15:17:07.295775,H,RITUAL_DANCE,NP
1690294637297285000,15:17:17.298441,H,RITUAL_DANCE,NP
1690294647299966000,15:17:27.300514,H,RITUAL_DANCE,NP
1690294657301978000,15:17:37.302436,H,RITUAL_DANCE,NP
1690294667304001000,15:17:47.304561,H,RITUAL_DANCE,NP
1690294677306130000,15:17:57.306745,H,RITUAL_DANCE,NP
1690294687308255000,15:18:07.309102,H,RITUAL_DANCE,NP
1690294697310540000,15:18:17.310990,H,RITUAL_DANCE,NP
1690294707312560000,15:18:27.313119,H,RITUAL_DANCE,NP
1690294717314570000,15:18:37.315080,H,RITUAL_DANCE,NP
1690294727329167000,15:18:47.329644,H,RITUAL_DANCE,NP
1690294737331021000,15:18:57.331939,H,RITUAL_DANCE,NP
1690294747332454000,15:19:07.332951,H,RITUAL_DANCE,NP
1690294757333915000,15:19:17.334479,H,RITUAL_DANCE,NP
1690294767335864000,15:19:27.336044,H,RITUAL_DANCE,NP
1690294777337501000,15:19:37.338009,H,RITUAL_DANCE,NP
1690294787339255000,15:19:47.339907,H,RITUAL_DANCE,NP
1690294797341348000,15:19:57.341902,H,RITUAL_DANCE,NP
1690294807342550000,15:20:07.343146,H,RITUAL_DANCE,NP
1690294817343554000,15:20:17.343722,H,RITUAL_DANCE,NP
1690294827345177000,15:20:27.345758,H,RITUAL_DANCE,NP
1690294837347305000,15:20:37.347788,H,RITUAL_DANCE,NP
1690294847349280000,15:20:47.349725,H,RITUAL_DANCE,NP
1690294857351354000,15:20:57.351990,H,RITUAL_DANCE,NP
1690294866151615000,15:21:06.152126,MIRKO IS H ,RITUAL_DANCE,NP
1690294867353592000,15:21:07.354082,H,RITUAL_DANCE,NP
1690294877355546000,15:21:17.356237,H,RITUAL_DANCE,NP
1690294887357804000,15:21:27.358470,H,RITUAL_DANCE,NP
1690294897359287000,15:21:37.359854,H,RITUAL_DANCE,NP
1690294907361459000,15:21:47.362044,H,RITUAL_DANCE,NP
1690294917363697000,15:21:57.364334,H,RITUAL_DANCE,NP
1690294924208131000,15:22:04.208585,LAUGHING,RITUAL_DANCE,NP
1690294927365987000,15:22:07.366633,H,RITUAL_DANCE,NP
1690294937368290000,15:22:17.368927,H,RITUAL_DANCE,NP
1690294947370495000,15:22:27.371017,H,RITUAL_DANCE,NP
1690294957372103000,15:22:37.372966,H,RITUAL_DANCE,NP
1690294967374496000,15:22:47.375149,H,RITUAL_DANCE,NP
1690294977376804000,15:22:57.377792,H,RITUAL_DANCE,NP
1690294987379348000,15:23:07.380012,H,RITUAL_DANCE,NP
1690294997381491000,15:23:17.382139,H,RITUAL_DANCE,NP
1690295001016820000,15:23:21.017070,LAUGHING,RITUAL_DANCE,NP
1690295007383631000,15:23:27.384240,H,RITUAL_DANCE,NP
1690295017385854000,15:23:37.386493,H,RITUAL_DANCE,NP
1690295027387610000,15:23:47.388259,H,RITUAL_DANCE,NP
1690295037389782000,15:23:57.390319,H,RITUAL_DANCE,NP
1690295044112845000,15:24:04.113482,START,RITUAL_DANCE,NP
1690295047391567000,15:24:07.392209,H,RITUAL_DANCE,NP
1690295057393796000,15:24:17.394375,H,RITUAL_DANCE,NP
1690295067395078000,15:24:27.395741,H,RITUAL_DANCE,NP
1690295070592519000,15:24:30.593058,CHANGE_COSTUME,RITUAL_DANCE,NP
1690295077396608000,15:24:37.397132,H,RITUAL_DANCE,NP
1690295087398605000,15:24:47.399260,H,RITUAL_DANCE,NP
1690295097400851000,15:24:57.401423,H,RITUAL_DANCE,NP
1690295107402640000,15:25:07.403288,H,RITUAL_DANCE,NP
1690295117404851000,15:25:17.405056,H,RITUAL_DANCE,NP
1690295127406524000,15:25:27.407149,H,RITUAL_DANCE,NP
1690295137408200000,15:25:37.408832,H,RITUAL_DANCE,NP
1690295147410533000,15:25:47.411517,H,RITUAL_DANCE,NP
1690295157412497000,15:25:57.412930,H,RITUAL_DANCE,NP
1690295167414107000,15:26:07.414668,H,RITUAL_DANCE,NP
1690295177416271000,15:26:17.416826,H,RITUAL_DANCE,NP
1690295187418403000,15:26:27.419000,H,RITUAL_DANCE,NP
1690295197420460000,15:26:37.420861,H,PLANT_CARE,NP
1690295207422677000,15:26:47.423415,H,PLANT_CARE,NP
1690295217424822000,15:26:57.425513,H,PLANT_CARE,NP
1690295221588789000,15:27:01.589446,PUT_ON_COSTUME,PLANT_CARE,NP
1690295227426025000,15:27:07.426619,H,PLANT_CARE,NP
1690295237428219000,15:27:17.428797,H,PLANT_CARE,NP
1690295247430409000,15:27:27.431061,H,PLANT_CARE,NP
1690295257432637000,15:27:37.433226,H,PLANT_CARE,NP
1690295267434807000,15:27:47.435390,H,PLANT_CARE,NP
1690295277438166000,15:27:57.438608,H,PLANT_CARE,NP
1690295287440046000,15:28:07.440997,H,SPOTIFY,P
1690295297442456000,15:28:17.443109,H,SPOTIFY,P
1690295305639543000,15:28:25.640137,CHANGE_COSTUME,SPOTIFY,P
1690295307444683000,15:28:27.445230,H,SPOTIFY,P
1690295317446372000,15:28:37.446971,H,SPOTIFY,P
1690295327448540000,15:28:47.449197,H,SPOTIFY,P
1690295337450074000,15:28:57.450696,H,SPOTIFY,P
1690295347452236000,15:29:07.452866,H,SPOTIFY,P
1690295357454519000,15:29:17.455137,H,SPOTIFY,P
1690295367456779000,15:29:27.457487,H,SPOTIFY,P
1690295377458459000,15:29:37.459097,H,SPOTIFY,P
1690295387460337000,15:29:47.461017,H,SPOTIFY,P
1690295397462314000,15:29:57.462707,H,SPOTIFY,P
1690295407464248000,15:30:07.464919,H,SPOTIFY,P
1690295417465791000,15:30:17.466154,H,SPOTIFY,P
1690295417632329000,15:30:17.632576,PERFORMER_TALK,SPOTIFY,P
1690295427467641000,15:30:27.468234,H,SPOTIFY,P
1690295437469844000,15:30:37.470425,H,SPOTIFY,P
1690295447472034000,15:30:47.472667,H,SPOTIFY,P
1690295457474248000,15:30:57.474829,H,SPOTIFY,P
1690295467476222000,15:31:07.476858,H,SPOTIFY,P
1690295477478450000,15:31:17.479087,H,SPOTIFY,P
