U_TIME,HUMAN_TIME,MESSAGE,STAGE,P/NP
1689862669699490000,15:17:49.699493,H,UKULELE,NP
1689862679700868000,15:17:59.702279,H,UKULELE,NP
1689862689702786000,15:18:09.703446,H,UKULELE,NP
1689862699703971000,15:18:19.704213,H,UKULELE,NP
1689862709705565000,15:18:29.706987,H,PLANT_CARE,NP
1689862719707976000,15:18:39.708554,H,PLANT_CARE,NP
1689862729710228000,15:18:49.710837,H,PLANT_CARE,NP
1689862739712373000,15:18:59.712868,H,PLANT_CARE,NP
1689862749713745000,15:19:09.714298,H,PLANT_CARE,NP
1689862759715669000,15:19:19.716092,H,PLANT_CARE,NP
1689862769717307000,15:19:29.718493,H,PLANT_CARE,NP
1689862779720033000,15:19:39.720580,H,PLANT_CARE,NP
1689862789722168000,15:19:49.723379,H,PLANT_CARE,NP
1689862799724005000,15:19:59.724498,H,PLANT_CARE,NP
1689862809725919000,15:20:09.726676,H,PLANT_CARE,NP
1689862819728342000,15:20:19.729106,H,PLANT_CARE,NP
1689862829730754000,15:20:29.731366,H,PLANT_CARE,NP
1689862839733023000,15:20:39.733654,H,PLANT_CARE,NP
1689862849735170000,15:20:49.735962,H,PLANT_CARE,NP
1689862859737331000,15:20:59.737943,H,PLANT_CARE,NP
1689862869739311000,15:21:09.740107,H,PLANT_CARE,NP
1689862879740820000,15:21:19.740915,H,PLANT_CARE,NP
1689862889742422000,15:21:29.743020,H,PLANT_CARE,NP
1689862899743912000,15:21:39.745532,H,PLANT_CARE,NP
1689862900683224000,15:21:40.683682,START,PLANT_CARE,NP
1689862909747308000,15:21:49.748384,H,PLANT_CARE,NP
1689862919749856000,15:21:59.750422,H,PLANT_CARE,NP
1689862929751956000,15:22:09.752543,H,PLANT_CARE,NP
1689862939754201000,15:22:19.755614,H,PLANT_CARE,NP
1689862949756089000,15:22:29.756361,H,PLANT_CARE,NP
1689862959757898000,15:22:39.758571,H,PLANT_CARE,NP
1689862969760155000,15:22:49.760822,H,PLANT_CARE,NP
1689862969969112000,15:22:49.969424,PERFORMER_TALK,PLANT_CARE,NP
1689862979762377000,15:22:59.763017,H,PLANT_CARE,NP
1689862989765407000,15:23:09.768496,H,PLANT_CARE,NP
1689862999770882000,15:23:19.771464,H,PLANT_CARE,NP
1689863009772536000,15:23:29.772900,H,PLANT_CARE,NP
1689863011564029000,15:23:31.564910,PERFORMER_TALK,PLANT_CARE,NP
1689863019774425000,15:23:39.775061,H,PLANT_CARE,NP
1689863029776167000,15:23:49.776984,H,THE_DANCE,NP
1689863039779450000,15:23:59.780040,H,THE_DANCE,NP
1689863049781207000,15:24:09.781799,H,THE_DANCE,NP
1689863059783044000,15:24:19.783282,H,THE_DANCE,NP
1689863069784697000,15:24:29.785297,H,THE_DANCE,NP
1689863079786899000,15:24:39.787534,H,THE_DANCE,NP
1689863089788451000,15:24:49.788829,H,THE_DANCE,NP
1689863098509918000,15:24:58.510514,REMOVE_COSTUME,THE_DANCE,NP
1689863099790375000,15:24:59.790877,H,THE_DANCE,NP
1689863109799047000,15:25:09.799501,H,THE_DANCE,NP
1689863119800941000,15:25:19.801568,H,THE_DANCE,NP
1689863129803829000,15:25:29.804523,H,THE_DANCE,NP
1689863139806849000,15:25:39.807617,H,THE_DANCE,NP
1689863149808640000,15:25:49.809081,H,THE_DANCE,NP
1689863159809660000,15:25:59.810256,H,THE_DANCE,NP
1689863169811858000,15:26:09.812461,H,THE_DANCE,NP
1689863179814059000,15:26:19.814672,H,THE_DANCE,NP
1689863189816060000,15:26:29.816640,H,THE_DANCE,NP
1689863199818195000,15:26:39.818807,H,THE_DANCE,NP
1689863209820153000,15:26:49.820695,H,THE_DANCE,NP
1689863219822296000,15:26:59.822815,H,THE_DANCE,NP
1689863229824102000,15:27:09.824505,H,THE_DANCE,NP
1689863239826041000,15:27:19.826644,H,THE_DANCE,NP
1689863249828378000,15:27:29.829053,H,THE_DANCE,NP
1689863259830727000,15:27:39.831554,H,THE_DANCE,NP
1689863269833064000,15:27:49.833691,H,THE_DANCE,NP
1689863279835252000,15:27:59.835870,H,DOING_NOTHING,P
1689863285152876000,15:28:05.153374,CHANGE_COSTUME,DOING_NOTHING,P
1689863289837419000,15:28:09.837991,H,DOING_NOTHING,P
1689863299839526000,15:28:19.840143,H,DOING_NOTHING,P
1689863309841693000,15:28:29.842129,H,DOING_NOTHING,P
1689863319843635000,15:28:39.844204,H,DOING_NOTHING,P
1689863329845744000,15:28:49.846363,H,DOING_NOTHING,P
1689863339853824000,15:28:59.854228,H,DOING_NOTHING,P
1689863349855668000,15:29:09.856159,H,DOING_NOTHING,P
1689863359857702000,15:29:19.858330,H,DOING_NOTHING,P
1689863369859913000,15:29:29.860524,H,DOING_NOTHING,P
1689863379861591000,15:29:39.862060,H,DOING_NOTHING,P
1689863389863401000,15:29:49.864015,H,DOING_NOTHING,P
1689863399865691000,15:29:59.866288,H,DOING_NOTHING,P
1689863409867242000,15:30:09.867885,H,DOING_NOTHING,P
