time,human time,message
1689070590117047100,11:16:30,-APP-START-
1689070600215168500,11:16:40:215,H
1689070610283657400,11:16:50:283,H
1689070620334330000,11:17:00:334,H
1689070630399960000,11:17:10:399,H
1689070640492956700,11:17:20:492,H
1689070650511088400,11:17:30:511,H
1689070660542466800,11:17:40:542,H
1689070670564580400,11:17:50:564,H
1689070680673775000,11:18:00:673,H
1689070690723744000,11:18:10:723,H
1689070700734774600,11:18:20:734,H
1689070704695892500,11:18:24:695,-START-REC-
1689070710831956100,11:18:30:831,H
1689070720835909200,11:18:40:835,H
1689070727514032500,11:18:47:514,-MESSAGE-TEST 1
1689070730891311400,11:18:50:891,H
1689070731513342100,11:18:51:513,-MESSAGE-Test 2
1689070740938423000,11:19:00:938,H
1689070742201710900,11:19:02:201,-STOP-REC-
1689070755829456500,11:19:15:829,H
1689077714915767100,13:15:14,-APP-START-
1689077725022081400,13:15:25:022,H
1689077729626881400,13:15:29:626,-START-REC-
1689077735028269600,13:15:35:028,H
1689077745105919700,13:15:45:105,H
1689077755120935100,13:15:55:120,H
1689077761457524300,13:16:01:457,-TRIGGER-
1689077765186141400,13:16:05:186,H
1689077765898711600,13:16:05:898,-STOP-REC-
1689077775356803000,13:16:15:356,H
1689079140525707300,13:39:00,-APP-START-
1689079150543324700,13:39:10:543,H
1689079160622436400,13:39:20:622,H
1689079165067419900,13:39:25:067,-START-REC-
1689079170645149500,13:39:30:645,H
1689079180687839500,13:39:40:687,H
1689079190783041500,13:39:50:783,H
1689079192392873200,13:39:52:392,-STOP-REC-
1689079200914009500,13:40:00:914,H
1689079210996258000,13:40:10:996,H
1689079221077989600,13:40:21:077,H
1689079231186672600,13:40:31:186,H
1689079241211785000,13:40:41:211,H
1689079251263513400,13:40:51:263,H
1689079261277605800,13:41:01:277,H
1689079271357995800,13:41:11:357,H
1689079281465421800,13:41:21:465,H
1689079291523113700,13:41:31:523,H
1689085945926636800,15:32:25,-APP-START-
1689085955949747200,15:32:35:949,H
1689085965961764800,15:32:45:961,H
1689085976062359100,15:32:56:062,H
1689085986165135900,15:33:06:165,H
1689085996253016200,15:33:16:253,H
1689086096304450900,15:34:56,-APP-START-
1689086106375002800,15:35:06:375,H
1689086339776950200,15:38:59,-APP-START-
1689086349873429800,15:39:09:873,H
1689088734022749900,16:18:54,-APP-START-
1689088744044466700,16:19:04:044,H
1689088754140276100,16:19:14:140,H
1689088764218787200,16:19:24:218,H
1689088774297123500,16:19:34:297,H
