U_TIME,HUMAN_TIME,MESSAGE,STAGE,P/NP
1689876741715905000,19:12:21.715907,H,UKULELE,NP
1689876751717092000,19:12:31.717497,H,UKULELE,NP
1689876761718965000,19:12:41.719551,H,UKULELE,NP
1689876771720595000,19:12:51.721032,H,UKULELE,NP
1689876781721590000,19:13:01.722136,H,UKULELE,NP
1689876791722972000,19:13:11.723753,H,EATING_DRINKING,NP
1689876801725469000,19:13:21.726181,H,EATING_DRINKING,NP
1689876811727673000,19:13:31.728228,H,EATING_DRINKING,NP
1689876821728939000,19:13:41.730060,H,EATING_DRINKING,NP
1689876831730717000,19:13:51.731173,H,EATING_DRINKING,NP
1689876841732716000,19:14:01.733146,H,EATING_DRINKING,NP
1689876851745480000,19:14:11.746124,H,EATING_DRINKING,NP
1689876861747596000,19:14:21.748167,H,EATING_DRINKING,NP
1689876871749738000,19:14:31.750316,H,EATING_DRINKING,NP
1689876881751904000,19:14:41.753069,H,EATING_DRINKING,NP
1689876891753641000,19:14:51.754239,H,EATING_DRINKING,NP
1689876901755685000,19:15:01.756344,H,EATING_DRINKING,NP
1689876911757942000,19:15:11.758548,H,EATING_DRINKING,NP
1689876921760199000,19:15:21.760848,H,EATING_DRINKING,NP
1689876931762296000,19:15:31.763120,H,EATING_DRINKING,NP
1689876941764509000,19:15:41.765131,H,EATING_DRINKING,NP
1689876951767401000,19:15:51.768099,H,EATING_DRINKING,NP
1689876961770460000,19:16:01.771119,H,EATING_DRINKING,NP
1689876971772133000,19:16:11.772725,H,EATING_DRINKING,NP
1689876981774366000,19:16:21.774999,H,EATING_DRINKING,NP
1689876991776609000,19:16:31.777277,H,EATING_DRINKING,NP
1689876995584242000,19:16:35.585283,START,EATING_DRINKING,NP
1689877001778918000,19:16:41.779535,H,EATING_DRINKING,NP
1689877011780925000,19:16:51.781541,H,EATING_DRINKING,NP
1689877021783009000,19:17:01.783597,H,EATING_DRINKING,NP
1689877031785180000,19:17:11.785761,H,EATING_DRINKING,NP
1689877041788050000,19:17:21.788649,H,EATING_DRINKING,NP
1689877051790281000,19:17:31.790966,H,EATING_DRINKING,NP
1689877061792632000,19:17:41.793705,H,EATING_DRINKING,NP
1689877071795316000,19:17:51.795896,H,EATING_DRINKING,NP
1689877081797402000,19:18:01.797811,H,EATING_DRINKING,NP
1689877091799316000,19:18:11.799901,H,EATING_DRINKING,NP
1689877101801502000,19:18:21.802152,H,SPOTIFY,P
1689877111803761000,19:18:31.804410,H,SPOTIFY,P
1689877121807784000,19:18:41.808263,H,SPOTIFY,P
1689877131809756000,19:18:51.810398,H,SPOTIFY,P
1689877141811694000,19:19:01.812282,H,SPOTIFY,P
1689877149415241000,19:19:09.416088,CHANGE_COSTUME,SPOTIFY,P
1689877151813893000,19:19:11.814504,H,SPOTIFY,P
1689877161815689000,19:19:21.816139,H,SPOTIFY,P
1689877171817637000,19:19:31.818411,H,SPOTIFY,P
1689877181820102000,19:19:41.820766,H,SPOTIFY,P
1689877191822402000,19:19:51.823488,H,SPOTIFY,P
1689877201825002000,19:20:01.825653,H,SPOTIFY,P
1689877211827271000,19:20:11.827863,H,SPOTIFY,P
1689877221829481000,19:20:21.830114,H,SPOTIFY,P
1689877229265746000,19:20:29.266251,NO SOUND,SPOTIFY,P
1689877231830832000,19:20:31.831453,H,SPOTIFY,P
1689877241832898000,19:20:41.833717,H,SPOTIFY,P
1689877251835209000,19:20:51.835850,H,SPOTIFY,P
1689877261837263000,19:21:01.838526,H,SPOTIFY,P
1689877271840103000,19:21:11.840745,H,UKULELE,NP
1689877281843419000,19:21:21.843928,H,UKULELE,NP
1689877291845077000,19:21:31.845736,H,UKULELE,NP
1689877301847422000,19:21:41.848076,H,UKULELE,NP
1689877311697220000,19:21:51.697706,CHANGE_COSTUME,UKULELE,NP
1689877311850150000,19:21:51.850686,H,UKULELE,NP
1689877315843339000,19:21:55.843895,PERFORMER_TALK,UKULELE,NP
1689877321851372000,19:22:01.852415,H,UKULELE,NP
1689877332570488000,19:22:12.571064,H,UKULELE,NP
1689877342572730000,19:22:22.573350,H,UKULELE,NP
1689877352574935000,19:22:32.575576,H,UKULELE,NP
1689877362577144000,19:22:42.577719,H,UKULELE,NP
1689877372578254000,19:22:52.578868,H,UKULELE,NP
1689877382579303000,19:23:02.579701,H,UKULELE,NP
1689877390190781000,19:23:10.191508,ADD ,UKULELE,NP
1689877392580740000,19:23:12.581093,H,UKULELE,NP
1689877402582550000,19:23:22.583179,H,UKULELE,NP
1689877412584784000,19:23:32.585441,H,UKULELE,NP
1689877422586949000,19:23:42.587542,H,UKULELE,NP
1689877432588945000,19:23:52.589358,H,UKULELE,NP
1689877442590763000,19:24:02.591385,H,UKULELE,NP
1689877450916661000,19:24:10.917408,CHANGE_COSTUME,HOOVERING,P
1689877452592953000,19:24:12.593485,H,HOOVERING,P
1689877462595070000,19:24:22.595632,H,HOOVERING,P
1689877472597215000,19:24:32.597854,H,HOOVERING,P
1689877482599420000,19:24:42.600039,H,HOOVERING,P
1689877492601177000,19:24:52.601748,H,HOOVERING,P
1689877502603235000,19:25:02.604158,H,HOOVERING,P
1689877503694025000,19:25:03.694201,YELL,HOOVERING,P
1689877512605547000,19:25:12.605970,H,HOOVERING,P
1689877522606754000,19:25:22.607183,H,HOOVERING,P
1689877526605224000,19:25:26.605831,LAUGHING,HOOVERING,P
1689877532608684000,19:25:32.609276,H,HOOVERING,P
1689877542610801000,19:25:42.611377,H,HOOVERING,P
1689877552612922000,19:25:52.613461,H,HOOVERING,P
1689877562615090000,19:26:02.615724,H,HOOVERING,P
1689877572617307000,19:26:12.617943,H,HOOVERING,P
1689877582618749000,19:26:22.619346,H,HOOVERING,P
1689877592620828000,19:26:32.621389,H,HOOVERING,P
1689877602622267000,19:26:42.622911,H,HOOVERING,P
1689877612624371000,19:26:52.624989,H,HOOVERING,P
1689877622634686000,19:27:02.635636,H,HOOVERING,P
1689877632637059000,19:27:12.637519,H,HOOVERING,P
1689877642639016000,19:27:22.639619,H,HOOVERING,P
1689877652641263000,19:27:32.641865,H,HOOVERING,P
1689877662643289000,19:27:42.643555,H,HOOVERING,P
1689877672644297000,19:27:52.645197,H,HOOVERING,P
1689877682645846000,19:28:02.646321,H,HOOVERING,P
1689877692647594000,19:28:12.648207,H,DOING_NOTHING,P
1689877702649846000,19:28:22.650449,H,DOING_NOTHING,P
1689877711483587000,19:28:31.484105,REMOVE_COSTUME,DOING_NOTHING,P
1689877712652636000,19:28:32.653150,H,DOING_NOTHING,P
1689877722655378000,19:28:42.656000,H,DOING_NOTHING,P
1689877732657244000,19:28:52.657622,H,DOING_NOTHING,P
1689877742658950000,19:29:02.659404,H,DOING_NOTHING,P
1689877752660821000,19:29:12.661607,H,DOING_NOTHING,P
1689877762663326000,19:29:22.663948,H,DOING_NOTHING,P
1689877772665657000,19:29:32.666264,H,DOING_NOTHING,P
1689877782666937000,19:29:42.667540,H,DOING_NOTHING,P
1689877792669190000,19:29:52.669646,H,DOING_NOTHING,P
1689877802671267000,19:30:02.671827,H,DOING_NOTHING,P
1689877812673442000,19:30:12.674029,H,DOING_NOTHING,P
1689877822675517000,19:30:22.675865,H,DOING_NOTHING,P
1689877828776345000,19:30:28.776736,DORP WATER BOTTLE NOISE PUBLIC,DOING_NOTHING,P
1689877832677302000,19:30:32.677944,H,DOING_NOTHING,P
1689877842679532000,19:30:42.680157,H,DOING_NOTHING,P
1689877852681844000,19:30:52.682467,H,GRIEF_EXERCISE,NP
1689877862684129000,19:31:02.685454,H,GRIEF_EXERCISE,NP
1689877872687170000,19:31:12.687794,H,GRIEF_EXERCISE,NP
1689877882689503000,19:31:22.690258,H,GRIEF_EXERCISE,NP
1689877892692213000,19:31:32.692999,H,GRIEF_EXERCISE,NP
1689877902704116000,19:31:42.704658,H,GRIEF_EXERCISE,NP
1689877904961767000,19:31:44.962205,REMOVE_COSTUME,GRIEF_EXERCISE,NP
1689877912705359000,19:31:52.705938,H,GRIEF_EXERCISE,NP
1689877922707022000,19:32:02.707990,H,GRIEF_EXERCISE,NP
1689877932710013000,19:32:12.711206,H,GRIEF_EXERCISE,NP
1689877942713248000,19:32:22.713890,H,GRIEF_EXERCISE,NP
1689877952715500000,19:32:32.716365,H,GRIEF_EXERCISE,NP
1689877962718011000,19:32:42.718770,H,GRIEF_EXERCISE,NP
1689877972720753000,19:32:52.722477,H,GRIEF_EXERCISE,NP
1689877982724658000,19:33:02.724870,H,GRIEF_EXERCISE,NP
1689877992726302000,19:33:12.726754,H,GRIEF_EXERCISE,NP
1689878002728191000,19:33:22.728796,H,GRIEF_EXERCISE,NP
1689878012730840000,19:33:32.732021,H,GRIEF_EXERCISE,NP
1689878022734596000,19:33:42.735208,H,GRIEF_EXERCISE,NP
1689878032736766000,19:33:52.737324,H,GRIEF_EXERCISE,NP
1689878041648236000,19:34:01.648958,CRY,GRIEF_EXERCISE,NP
1689878042738902000,19:34:02.739477,H,GRIEF_EXERCISE,NP
1689878052740973000,19:34:12.741923,H,GRIEF_EXERCISE,NP
1689878062743358000,19:34:22.743966,H,GRIEF_EXERCISE,NP
1689878072745587000,19:34:32.746218,H,GRIEF_EXERCISE,NP
1689878082747824000,19:34:42.748469,H,GRIEF_EXERCISE,NP
1689878092749756000,19:34:52.750733,H,GRIEF_EXERCISE,NP
1689878102752348000,19:35:02.752903,H,GRIEF_EXERCISE,NP
1689878112756399000,19:35:12.757002,H,GRIEF_EXERCISE,NP
1689878122757610000,19:35:22.758259,H,GRIEF_EXERCISE,NP
1689878132759823000,19:35:32.760940,H,GRIEF_EXERCISE,NP
1689878142762385000,19:35:42.763328,H,GRIEF_EXERCISE,NP
1689878152764884000,19:35:52.765475,H,THE_DANCE,NP
1689878156945600000,19:35:56.946208,CHANGE_COSTUME,THE_DANCE,NP
1689878162784509000,19:36:02.785114,H,THE_DANCE,NP
1689878172786455000,19:36:12.787004,H,THE_DANCE,NP
1689878182788494000,19:36:22.789124,H,THE_DANCE,NP
1689878192790139000,19:36:32.791227,H,THE_DANCE,NP
1689878202792773000,19:36:42.793388,H,THE_DANCE,NP
1689878212794286000,19:36:52.794762,H,THE_DANCE,NP
1689878222796205000,19:37:02.796827,H,THE_DANCE,NP
1689878232797823000,19:37:12.798369,H,THE_DANCE,NP
1689878242799752000,19:37:22.800261,H,THE_DANCE,NP
1689878252801715000,19:37:32.802314,H,THE_DANCE,NP
1689878262803567000,19:37:42.804001,H,THE_DANCE,NP
1689878272805432000,19:37:52.806193,H,THE_DANCE,NP
1689878282807183000,19:38:02.808008,H,THE_DANCE,NP
1689878292809456000,19:38:12.810370,H,THE_DANCE,NP
1689878302812060000,19:38:22.812705,H,THE_DANCE,NP
1689878312814252000,19:38:32.814721,H,THE_DANCE,NP
1689878322816224000,19:38:42.816845,H,THE_DANCE,NP
1689878332819085000,19:38:52.820047,H,PLANT_CARE,P
1689878342821802000,19:39:02.824127,H,PLANT_CARE,P
1689878343584049000,19:39:03.585633,CHANGE_COSTUME,PLANT_CARE,P
1689878352825977000,19:39:12.826607,H,PLANT_CARE,P
1689878362828229000,19:39:22.828847,H,PLANT_CARE,P
1689878372830399000,19:39:32.831370,H,PLANT_CARE,P
1689878382833002000,19:39:42.833652,H,PLANT_CARE,P
1689878392835242000,19:39:52.835814,H,PLANT_CARE,P
1689878402844985000,19:40:02.845226,H,PLANT_CARE,P
1689878412846251000,19:40:12.847000,H,PLANT_CARE,P
1689878422848468000,19:40:22.849066,H,PLANT_CARE,P
1689878432850638000,19:40:32.851870,H,PLANT_CARE,P
1689878436814531000,19:40:36.815323,PERFORMER_TALK,PLANT_CARE,P
1689878442853186000,19:40:42.853649,H,PLANT_CARE,P
1689878452855076000,19:40:52.856013,H,PLANT_CARE,P
1689878462857594000,19:41:02.858250,H,PLANT_CARE,P
1689878472859841000,19:41:12.860476,H,PLANT_CARE,P
1689878482861239000,19:41:22.861710,H,PLANT_CARE,P
1689878492863238000,19:41:32.864221,H,PLANT_CARE,P
1689878502865756000,19:41:42.866393,H,PLANT_CARE,P
1689878512867980000,19:41:52.868699,H,PLANT_CARE,P
1689878522870137000,19:42:02.870920,H,PLANT_CARE,P
1689878532872158000,19:42:12.872781,H,PLANT_CARE,P
1689878542874360000,19:42:22.874966,H,PLANT_CARE,P
1689878552876399000,19:42:32.876978,H,PLANT_CARE,P
1689878562879640000,19:42:42.882100,H,PLANT_CARE,P
1689878572897476000,19:42:52.897934,H,PLANT_CARE,P
1689878582899272000,19:43:02.899648,H,POEM,NP
1689878592900745000,19:43:12.901768,H,POEM,NP
1689878602903357000,19:43:22.903922,H,POEM,NP
1689878612905670000,19:43:32.906484,H,POEM,NP
1689878622908427000,19:43:42.909113,H,POEM,NP
