U_TIME,HUMAN_TIME,MESSAGE,STAGE,P/NP
1689790597224070000,19:16:37.224074,H,UKULELE,
1689790607224894000,19:16:47.224903,H,THE_DANCE,
1689790617226808000,19:16:57.227009,H,THE_DANCE,
1689790627229146000,19:17:07.229571,H,THE_DANCE,
1689790637231028000,19:17:17.231448,H,THE_DANCE,
1689790647232845000,19:17:27.233324,H,THE_DANCE,
1689790657235061000,19:17:37.235800,H,THE_DANCE,
1689790667237701000,19:17:47.238034,H,THE_DANCE,
1689790677239590000,19:17:57.240087,H,THE_DANCE,
1689790687241612000,19:18:07.242119,H,THE_DANCE,
1689790697243771000,19:18:17.244272,H,THE_DANCE,
1689790707245859000,19:18:27.246314,H,THE_DANCE,
1689790717247923000,19:18:37.248407,H,THE_DANCE,
1689790727249786000,19:18:47.250219,H,THE_DANCE,
1689790737251708000,19:18:57.252344,H,THE_DANCE,
1689790747253891000,19:19:07.254347,H,THE_DANCE,
1689790757255956000,19:19:17.256450,H,THE_DANCE,
1689790767258008000,19:19:27.258448,H,THE_DANCE,
1689790777259878000,19:19:37.260400,H,THE_DANCE,
1689790787261868000,19:19:47.262328,H,THE_DANCE,
1689790797263468000,19:19:57.263972,H,THE_DANCE,
1689790807265513000,19:20:07.266018,H,THE_DANCE,
1689790817268168000,19:20:17.268629,H,THE_DANCE,
1689790827270218000,19:20:27.270634,H,THE_DANCE,
1689790837272245000,19:20:37.272744,H,THE_DANCE,
1689790847274269000,19:20:47.274705,H,THE_DANCE,
1689790851601203000,19:20:51.601655,START,THE_DANCE,
1689790857276236000,19:20:57.276706,H,THE_DANCE,
1689790867278306000,19:21:07.278753,H,THE_DANCE,
1689790877280336000,19:21:17.280769,H,THE_DANCE,
1689790883837189000,19:21:23.837645,CHANGE_COSTUME,THE_DANCE,
1689790887294500000,19:21:27.294923,H,THE_DANCE,
1689790897296270000,19:21:37.296902,H,THE_DANCE,
1689790907298415000,19:21:47.298852,H,THE_DANCE,
1689790917300387000,19:21:57.300830,H,THE_DANCE,
1689790927302424000,19:22:07.302915,H,THE_DANCE,
1689790937304492000,19:22:17.304927,H,THE_DANCE,
1689790947306510000,19:22:27.307019,H,THE_DANCE,
1689790957308663000,19:22:37.309082,H,THE_DANCE,
1689790967310727000,19:22:47.311275,H,THE_DANCE,
1689790977312592000,19:22:57.313248,H,THE_DANCE,
1689790987314930000,19:23:07.315450,H,THE_DANCE,
1689790997317111000,19:23:17.317579,H,THE_DANCE,
1689791007319220000,19:23:27.319657,H,THE_DANCE,
1689791017320827000,19:23:37.321324,H,THE_DANCE,
1689791027322665000,19:23:47.323112,H,THE_DANCE,
1689791037325022000,19:23:57.325318,H,THE_DANCE,
1689791047326921000,19:24:07.327510,H,THE_DANCE,
1689791057329144000,19:24:17.329627,H,THE_DANCE,
1689791067331294000,19:24:27.331608,H,THE_DANCE,
1689791077333196000,19:24:37.333728,H,THE_DANCE,
