U_TIME,HUMAN_TIME,MESSAGE,STAGE,P/NP
1690223668769053000,19:34:28.769626,H,RITUAL_DANCE,NP
1690223678769951000,19:34:38.770555,H,RITUAL_DANCE,NP
1690223688772197000,19:34:48.772759,H,RITUAL_DANCE,NP
1690223698774321000,19:34:58.775271,H,RITUAL_DANCE,NP
1690223708776777000,19:35:08.777373,H,RITUAL_DANCE,NP
1690223718778946000,19:35:18.779546,H,RITUAL_DANCE,NP
1690223721596196000,19:35:21.596990,<3,RITUAL_DANCE,NP
1690223728781157000,19:35:28.781786,H,RITUAL_DANCE,NP
1690223738783326000,19:35:38.783920,H,RITUAL_DANCE,NP
1690223748784931000,19:35:48.785472,H,RITUAL_DANCE,NP
1690223758787549000,19:35:58.788155,H,RITUAL_DANCE,NP
1690223768789257000,19:36:08.789833,H,RITUAL_DANCE,NP
1690223778791410000,19:36:18.791999,H,SPOTIFY,NP
1690223788793571000,19:36:28.794533,H,SPOTIFY,NP
1690223798805208000,19:36:38.805738,H,SPOTIFY,NP
1690223808807172000,19:36:48.807700,H,SPOTIFY,NP
1690223818809273000,19:36:58.809816,H,SPOTIFY,NP
1690223828810603000,19:37:08.811127,H,SPOTIFY,NP
1690223838812518000,19:37:18.812923,H,SPOTIFY,NP
1690223848814342000,19:37:28.814925,H,SPOTIFY,NP
1690223858816471000,19:37:38.817077,H,SPOTIFY,NP
1690223868818646000,19:37:48.819270,H,SPOTIFY,NP
1690223878820362000,19:37:58.821437,H,SPOTIFY,NP
1690223880923095000,19:38:00.923651,REMOVE_COSTUME,SPOTIFY,NP
1690223888822992000,19:38:08.823587,H,SPOTIFY,NP
1690223898825137000,19:38:18.825740,H,SPOTIFY,NP
1690223908827335000,19:38:28.827949,H,SPOTIFY,NP
1690223918829354000,19:38:38.829741,H,SPOTIFY,NP
1690223928831090000,19:38:48.831692,H,SPOTIFY,NP
1690223938833289000,19:38:58.833909,H,SPOTIFY,NP
1690223948835481000,19:39:08.836065,H,SPOTIFY,NP
1690223958837381000,19:39:18.837844,H,SPOTIFY,NP
1690223968839429000,19:39:28.840027,H,SPOTIFY,NP
1690223978841606000,19:39:38.842208,H,SPOTIFY,NP
1690223985408658000,19:39:45.409274,PERFORMER_TALK,SPOTIFY,NP
1690223988843464000,19:39:48.844072,H,SPOTIFY,NP
1690223998845611000,19:39:58.846215,H,SPOTIFY,NP
1690224008847771000,19:40:08.848364,H,DOING_NOTHING,NP
1690224018849923000,19:40:18.850534,H,DOING_NOTHING,NP
1690224023130342000,19:40:23.131065,PUT_ON_COSTUME,DOING_NOTHING,NP
1690224028852130000,19:40:28.852712,H,DOING_NOTHING,NP
1690224038854402000,19:40:38.854885,H,DOING_NOTHING,NP
1690224048856216000,19:40:48.856324,H,DOING_NOTHING,NP
1690224058857549000,19:40:58.858046,H,DOING_NOTHING,NP
1690224068859455000,19:41:08.860017,H,DOING_NOTHING,NP
1690224078861631000,19:41:18.862617,H,DOING_NOTHING,NP
1690224088864097000,19:41:28.864654,H,DOING_NOTHING,NP
1690224098866237000,19:41:38.866805,H,DOING_NOTHING,NP
1690224108869242000,19:41:48.869820,H,DOING_NOTHING,NP
1690224118871420000,19:41:58.871997,H,DOING_NOTHING,NP
1690224128873359000,19:42:08.873923,H,DOING_NOTHING,NP
1690224138875400000,19:42:18.875764,H,DOING_NOTHING,NP
1690224148876140000,19:42:28.876502,H,THE_DANCE,P
1690224158876924000,19:42:38.877495,H,THE_DANCE,P
1690224168878743000,19:42:48.879293,H,THE_DANCE,P
1690224178880885000,19:42:58.881453,H,THE_DANCE,P
1690224180071908000,19:43:00.072471,CHANGE_COSTUME,THE_DANCE,P
1690224188883076000,19:43:08.883662,H,THE_DANCE,P
1690224198884919000,19:43:18.885473,H,THE_DANCE,P
1690224208887112000,19:43:28.887824,H,THE_DANCE,P
1690224218889238000,19:43:38.889851,H,THE_DANCE,P
1690224228891287000,19:43:48.891657,H,THE_DANCE,P
