time,human time,message
1689146856503941400,08:27:36,-APP-START-
1689146866517663500,08:27:46:517,H
1689146876567250300,08:27:56:567,H
1689146886636448000,08:28:06:636,H
1689146896647234800,08:28:16:647,H
1689146906680457100,08:28:26:680,H
1689146916700339300,08:28:36:700,H
1689146917232756600,08:28:37:232,-START-REC-
1689146926798314800,08:28:46:798,H
1689146936905842100,08:28:56:905,H
1689146947013575300,08:29:07:013,H
1689146957027320700,08:29:17:027,H
1689146967051198600,08:29:27:051,H
1689146977150192200,08:29:37:150,H
1689146987186005500,08:29:47:186,H
1689146997242544200,08:29:57:242,H
1689147007340269200,08:30:07:340,H
1689147017398809200,08:30:17:398,H
1689147027465033200,08:30:27:465,H
1689147037483941000,08:30:37:483,H
1689147047588477000,08:30:47:588,H
1689147057647050800,08:30:57:647,H
1689147067653180900,08:31:07:653,H
1689147077716618100,08:31:17:716,H
1689147087824768700,08:31:27:824,H
1689147097901914500,08:31:37:901,H
1689147108002649900,08:31:48:002,H
1689147118076120200,08:31:58:076,H
1689147128149434500,08:32:08:149,H
1689147138152103300,08:32:18:152,H
1689147141639949300,08:32:21:639,-STOP-REC-
1689147158583986100,08:32:38:583,H
1689156723245339100,11:12:03,-APP-START-
1689156733311771900,11:12:13:311,-H-
1689156743369712300,11:12:23:369,-H-
1689156753379793500,11:12:33:379,-H-
1689156763482763400,11:12:43:482,-H-
1689156773581724100,11:12:53:581,-H-
1689156783645728000,11:13:03:645,-H-
1689156894586111900,11:14:54,-APP-START-
1689156904685699800,11:15:04:685,-H-
1689156909758935100,11:15:09:758,-START_REC-
1689156914744735500,11:15:14:744,-H-
1689156924553870500,11:15:24:553,-STOP_REC-
1689156925005072000,11:15:25:005,-H-
1689156935115215300,11:15:35:115,-H-
1689156945215644000,11:15:45:215,-H-
1689156955309405600,11:15:55:309,-H-
1689156965416102900,11:16:05:416,-H-
1689156991719347400,11:16:31,-APP-START-
1689157001840117800,11:16:41:840,-H-
1689157022962630600,11:17:02:962,-START_REC-
1689157027144823200,11:17:07:144,-H-
