U_TIME,HUMAN_TIME,MESSAGE,STAGE,P/NP
1690301789244798000,17:16:29.244800,H,UKULELE,NP
1690301799245987000,17:16:39.245998,H,DOING_NOTHING,NP
1690301809247423000,17:16:49.247458,H,DOING_NOTHING,NP
1690301819249046000,17:16:59.249083,H,DOING_NOTHING,NP
1690301829250638000,17:17:09.251224,H,DOING_NOTHING,NP
1690301839252763000,17:17:19.253417,H,DOING_NOTHING,NP
1690301849254985000,17:17:29.255668,H,DOING_NOTHING,NP
1690301859257165000,17:17:39.257504,H,DOING_NOTHING,NP
1690301869259150000,17:17:49.259285,H,DOING_NOTHING,NP
1690301879260675000,17:17:59.261349,H,DOING_NOTHING,NP
1690301889262927000,17:18:09.263628,H,DOING_NOTHING,NP
1690301899265206000,17:18:19.265896,H,DOING_NOTHING,NP
1690301909267440000,17:18:29.268208,H,DOING_NOTHING,NP
1690301911804752000,17:18:31.805365,HSWBA PPL,DOING_NOTHING,NP
1690301919269692000,17:18:39.270346,H,DOING_NOTHING,NP
1690301929271955000,17:18:49.272658,H,DOING_NOTHING,NP
1690301939274271000,17:18:59.274955,H,DOING_NOTHING,NP
1690301946186716000,17:19:06.187624,LAUGHING,DOING_NOTHING,NP
1690301949276578000,17:19:09.277166,H,DOING_NOTHING,NP
1690301959278645000,17:19:19.279284,H,DOING_NOTHING,NP
1690301969280792000,17:19:29.281448,H,DOING_NOTHING,NP
1690301979282495000,17:19:39.283164,H,DOING_NOTHING,NP
1690301989284609000,17:19:49.285071,H,DOING_NOTHING,NP
1690301999286256000,17:19:59.286744,H,DOING_NOTHING,NP
1690302004232906000,17:20:04.233956,START,DOING_NOTHING,NP
1690302009288258000,17:20:09.288934,H,DOING_NOTHING,NP
1690302019290552000,17:20:19.291726,H,DOING_NOTHING,NP
1690302029293281000,17:20:29.293985,H,DOING_NOTHING,NP
1690302039295183000,17:20:39.295585,H,DOING_NOTHING,NP
1690302049296999000,17:20:49.297695,H,DOING_NOTHING,NP
1690302059318565000,17:20:59.319171,H,DOING_NOTHING,NP
1690302069320440000,17:21:09.321177,H,DOING_NOTHING,NP
1690302079322726000,17:21:19.323394,H,DOING_NOTHING,NP
1690302089325010000,17:21:29.325687,H,DOING_NOTHING,NP
1690302099326308000,17:21:39.326598,H,DOING_NOTHING,NP
1690302109328039000,17:21:49.328732,H,THE_DANCE,NP
1690302119330134000,17:21:59.330382,H,THE_DANCE,NP
1690302129331779000,17:22:09.332462,H,THE_DANCE,NP
1690302139334067000,17:22:19.334779,H,THE_DANCE,NP
1690302144104400000,17:22:24.105067,CHANGE_COSTUME,THE_DANCE,NP
1690302148556671000,17:22:28.557173,CHANGE_COSTUME,THE_DANCE,NP
1690302149335417000,17:22:29.335868,H,THE_DANCE,NP
1690302159337355000,17:22:39.337990,H,THE_DANCE,NP
1690302169339602000,17:22:49.340290,H,THE_DANCE,NP
1690302179341795000,17:22:59.342137,H,THE_DANCE,NP
1690302189343387000,17:23:09.344027,H,THE_DANCE,NP
1690302199345129000,17:23:19.345538,H,THE_DANCE,NP
1690302209346933000,17:23:29.347617,H,THE_DANCE,NP
1690302219349242000,17:23:39.349903,H,THE_DANCE,NP
1690302229351401000,17:23:49.351676,H,THE_DANCE,NP
1690302239352909000,17:23:59.353313,H,THE_DANCE,NP
1690302249354744000,17:24:09.355392,H,THE_DANCE,NP
1690302259356896000,17:24:19.357572,H,THE_DANCE,NP
1690302269359116000,17:24:29.359787,H,THE_DANCE,NP
1690302279361136000,17:24:39.361849,H,THE_DANCE,NP
1690302289363410000,17:24:49.364074,H,THE_DANCE,NP
1690302299365611000,17:24:59.366274,H,THE_DANCE,NP
1690302309367803000,17:25:09.368869,H,THE_DANCE,NP
1690302319370276000,17:25:19.370828,H,THE_DANCE,NP
1690302329371204000,17:25:29.371886,H,THE_DANCE,NP
1690302339373482000,17:25:39.374162,H,THE_DANCE,P
1690302349375757000,17:25:49.376324,H,THE_DANCE,P
1690302359377694000,17:25:59.378125,H,THE_DANCE,P
1690302369379450000,17:26:09.380242,H,THE_DANCE,P
1690302372678448000,17:26:12.679036,PUT_ON_COSTUME,THE_DANCE,P
1690302379380897000,17:26:19.381893,H,THE_DANCE,P
1690302389383391000,17:26:29.384131,H,THE_DANCE,P
1690302398674598000,17:26:38.675161,THE_DANCE 2,THE_DANCE,P
1690302399385732000,17:26:39.386219,H,THE_DANCE,P
1690302409387750000,17:26:49.388419,H,THE_DANCE,P
1690302419389965000,17:26:59.390633,H,THE_DANCE,P
1690302429392173000,17:27:09.392847,H,THE_DANCE,P
1690302439394259000,17:27:19.394707,H,THE_DANCE,P
1690302449396102000,17:27:29.396769,H,THE_DANCE,P
1690302459398362000,17:27:39.399031,H,THE_DANCE,P
1690302469400619000,17:27:49.401316,H,THE_DANCE,P
1690302479402948000,17:27:59.403731,H,THE_DANCE,P
1690302489405243000,17:28:09.405901,H,THE_DANCE,P
1690302499407477000,17:28:19.408107,H,THE_DANCE,P
1690302509409646000,17:28:29.410312,H,THE_DANCE,P
1690302519411813000,17:28:39.412836,H,THE_DANCE,P
1690302529414410000,17:28:49.415080,H,THE_DANCE,P
1690302539416611000,17:28:59.417273,H,THE_DANCE,P
1690302549418075000,17:29:09.418534,H,THE_DANCE,P
1690302559419782000,17:29:19.420372,H,THE_DANCE,P
1690302569421654000,17:29:29.422068,H,THE_DANCE,P
1690302579423527000,17:29:39.424179,H,UKULELE,P
1690302589425759000,17:29:49.426255,H,UKULELE,P
