time,human time,message
1689001472022588400,16:04:32,APP START
1689002342670725900,16:19:02,APP START
1689002353054804400,1689002353054804400,-TRIGGER-
1689002355689407700,1689002355689407700,-START-REC-
1689002367233376400,1689002367233376400,-TRIGGER-
1689002369168052900,1689002369168052900,-TRIGGER-
1689002370750764300,1689002370750764300,-TRIGGER-
1689002375413408300,1689002375413408300,-STOP-REC-
1689002380419469200,1689002380419469200,-STOP-REC-
1689002895695331800,16:28:15,APP START
1689002904354918700,00:00:00:000,-TRIGGER-
1689002906952937100,00:00:00:000,-TRIGGER-
1689002908724000900,00:00:00:000,-TRIGGER-
1689003020733816500,16:30:20,APP START
1689003028098739800,16:30:28:098,-TRIGGER-
1689003030678035500,16:30:30:678,-TRIGGER-
