U_TIME,HUMAN_TIME,MESSAGE,STAGE
1689697205932898000,17:20:05.933544,Placeholder,DOING_NOTHING
1689697210859974000,17:20:10.860623,H,DOING_NOTHING
1689697220862161000,17:20:20.862836,H,DOING_NOTHING
1689697230864518000,17:20:30.865490,H,DOING_NOTHING
1689697240867857000,17:20:40.868551,H,DOING_NOTHING
1689697250870231000,17:20:50.871146,H,DOING_NOTHING
1689697260872825000,17:21:00.873520,H,DOING_NOTHING
1689697270875777000,17:21:10.877138,H,DOING_NOTHING
1689697280878693000,17:21:20.879328,H,DOING_NOTHING
1689697290881573000,17:21:30.882285,H,DOING_NOTHING
1689697300883879000,17:21:40.884432,H,DOING_NOTHING
1689697310885891000,17:21:50.886974,H,DOING_NOTHING
1689697320888576000,17:22:00.889239,H,DOING_NOTHING
1689697330891702000,17:22:10.892387,H,DOING_NOTHING
1689697340894087000,17:22:20.894811,H,DOING_NOTHING
1689697350896476000,17:22:30.897151,H,DOING_NOTHING
1689697360899152000,17:22:40.902586,H,DOING_NOTHING
1689697370904445000,17:22:50.904903,H,DOING_NOTHING
1689697380906249000,17:23:00.907665,H,DOING_NOTHING
1689697390910227000,17:23:10.912481,H,DOING_NOTHING
1689697400916556000,17:23:20.917175,H,DOING_NOTHING
1689697410918897000,17:23:30.919598,H,DOING_NOTHING
1689697420921267000,17:23:40.921938,H,DOING_NOTHING
1689697430923625000,17:23:50.924168,H,DOING_NOTHING
1689697440925442000,17:24:00.925996,H,DOING_NOTHING
1689697450927653000,17:24:10.928365,H,GRIEF_EXERCISE
1689697460930018000,17:24:20.930747,H,GRIEF_EXERCISE
1689697470932221000,17:24:30.933515,H,GRIEF_EXERCISE
1689697480934939000,17:24:40.935667,H,GRIEF_EXERCISE
1689697490937112000,17:24:50.937785,H,GRIEF_EXERCISE
1689697500939554000,17:25:00.940227,H,GRIEF_EXERCISE
1689697510941737000,17:25:10.942563,H,GRIEF_EXERCISE
1689697520944068000,17:25:20.944672,H,GRIEF_EXERCISE
1689697530946207000,17:25:30.946945,H,GRIEF_EXERCISE
1689697540948960000,17:25:40.951394,H,GRIEF_EXERCISE
1689697550952510000,17:25:50.953181,H,GRIEF_EXERCISE
1689697560954719000,17:26:00.955372,H,GRIEF_EXERCISE
1689697570956757000,17:26:10.957255,H,GRIEF_EXERCISE
1689697580957868000,17:26:20.958558,H,GRIEF_EXERCISE
1689697590959467000,17:26:30.961342,H,GRIEF_EXERCISE
1689697600962826000,17:26:40.963281,H,GRIEF_EXERCISE
1689697610964994000,17:26:50.966175,H,PLANT_CARE
1689697620967864000,17:27:00.968522,H,PLANT_CARE
1689697628566045000,17:27:08.566713,Placeholder,PLANT_CARE
1689697630970214000,17:27:10.970922,H,PLANT_CARE
1689697640972496000,17:27:20.973170,H,PLANT_CARE
1689697650975443000,17:27:30.975859,H,PLANT_CARE
1689697660977455000,17:27:40.978342,H,PLANT_CARE
1689697670979877000,17:27:50.980750,H,PLANT_CARE
1689697680982451000,17:28:00.983483,H,PLANT_CARE
1689697690986063000,17:28:10.986861,H,PLANT_CARE
1689697700989497000,17:28:20.991435,H,PLANT_CARE
1689697710995073000,17:28:30.996005,H,PLANT_CARE
1689697720997863000,17:28:40.998809,H,PLANT_CARE
1689697731000548000,17:28:51.001635,H,PLANT_CARE
1689697741003206000,17:29:01.003662,H,PLANT_CARE
1689697751005217000,17:29:11.006571,H,PLANT_CARE
1689697761008505000,17:29:21.009125,H,PLANT_CARE
1689697771011418000,17:29:31.012463,H,PLANT_CARE
1689697781013547000,17:29:41.014264,H,PLANT_CARE
1689697791018422000,17:29:51.019056,H,PLANT_CARE
1689697801020593000,17:30:01.021242,H,PLANT_CARE
1689697807332716000,17:30:07.334533,Placeholder,PLANT_CARE
1689697810744578000,17:30:10.745160,Placeholder,PLANT_CARE
1689697811021891000,17:30:11.024034,H,PLANT_CARE
1689697821025638000,17:30:21.026326,H,PLANT_CARE
1689697831027999000,17:30:31.028709,H,POEM
1689697841030299000,17:30:41.030942,H,POEM
1689697851032632000,17:30:51.033309,H,POEM
1689697861034986000,17:31:01.035643,H,POEM
1689697871037223000,17:31:11.037853,H,POEM
1689697881039290000,17:31:21.039979,H,POEM
1689697891041650000,17:31:31.042264,H,POEM
1689697901043944000,17:31:41.044576,H,POEM
1689697911046165000,17:31:51.046792,H,POEM
1689697921048496000,17:32:01.049234,H,POEM
1689697931050898000,17:32:11.051550,H,POEM
1689697941053180000,17:32:21.053898,H,POEM
1689697951055540000,17:32:31.056179,H,RITUAL_DANCE
1689697961057898000,17:32:41.058598,H,RITUAL_DANCE
1689697971060339000,17:32:51.061061,H,RITUAL_DANCE
1689697981062695000,17:33:01.063346,H,RITUAL_DANCE
1689697982996565000,17:33:02.997172,Placeholder,RITUAL_DANCE
1689697991065095000,17:33:11.066007,H,RITUAL_DANCE
1689698001067676000,17:33:21.068331,H,RITUAL_DANCE
1689698011069350000,17:33:31.069953,H,RITUAL_DANCE
1689698021070825000,17:33:41.071980,H,RITUAL_DANCE
1689698031073784000,17:33:51.074459,H,RITUAL_DANCE
1689698041076080000,17:34:01.076625,H,RITUAL_DANCE
1689698051078242000,17:34:11.078897,H,RITUAL_DANCE
