U_TIME,HUMAN_TIME,MESSAGE,STAGE,P/NP
1690215657460780000,17:20:57.461432,H,UKULELE,NP
1690215663134751000,17:21:03.135207,PERFORMER_TALK,UKULELE,NP
1690215667462860000,17:21:07.463279,H,UKULELE,NP
1690215677464690000,17:21:17.465681,H,UKULELE,NP
1690215687467220000,17:21:27.467918,H,UKULELE,NP
1690215697469531000,17:21:37.470804,H,UKULELE,NP
1690215707477913000,17:21:47.478499,H,UKULELE,NP
1690215717479913000,17:21:57.480504,H,UKULELE,NP
1690215727482086000,17:22:07.482757,H,UKULELE,NP
1690215737483614000,17:22:17.484255,H,UKULELE,NP
1690215747485645000,17:22:27.486020,H,UKULELE,NP
1690215757487338000,17:22:37.488022,H,UKULELE,NP
1690215767489554000,17:22:47.490224,H,UKULELE,NP
1690215777491789000,17:22:57.492483,H,UKULELE,NP
1690215787494051000,17:23:07.494763,H,UKULELE,NP
1690215797496317000,17:23:17.497010,H,UKULELE,NP
1690215807498586000,17:23:27.499258,H,RITUAL_DANCE,P
1690215817500812000,17:23:37.501474,H,RITUAL_DANCE,P
1690215827502884000,17:23:47.503356,H,RITUAL_DANCE,P
1690215832403821000,17:23:52.404829,PUT_ON_COSTUME,RITUAL_DANCE,P
1690215837504712000,17:23:57.505262,H,RITUAL_DANCE,P
1690215840122274000,17:24:00.122819,CHANGE_COSTUME,RITUAL_DANCE,P
1690215841650073000,17:24:01.650782,CHANGE_COSTUME,RITUAL_DANCE,P
1690215847506800000,17:24:07.507512,H,RITUAL_DANCE,P
1690215857509125000,17:24:17.509799,H,RITUAL_DANCE,P
1690215867511214000,17:24:27.511683,H,RITUAL_DANCE,P
1690215877513140000,17:24:37.514184,H,RITUAL_DANCE,P
1690215887515673000,17:24:47.516908,H,RITUAL_DANCE,P
1690215897518000000,17:24:57.518588,H,RITUAL_DANCE,P
1690215907520154000,17:25:07.520843,H,RITUAL_DANCE,P
1690215917522492000,17:25:17.523190,H,RITUAL_DANCE,P
1690215927524732000,17:25:27.525239,H,RITUAL_DANCE,P
1690215937526661000,17:25:37.527288,H,RITUAL_DANCE,P
1690215947527936000,17:25:47.528440,H,RITUAL_DANCE,P
1690215957529399000,17:25:57.530411,H,RITUAL_DANCE,P
1690215967531995000,17:26:07.532693,H,HOOVERING,NP
1690215977534332000,17:26:17.534989,H,HOOVERING,NP
1690215987536397000,17:26:27.536895,H,HOOVERING,NP
1690215997538464000,17:26:37.539456,H,HOOVERING,NP
1690216007541043000,17:26:47.541736,H,HOOVERING,NP
1690216014348067000,17:26:54.348318,CHANGE_COSTUME,HOOVERING,NP
1690216017543371000,17:26:57.543997,H,HOOVERING,NP
1690216027545476000,17:27:07.546115,H,HOOVERING,NP
1690216037547679000,17:27:17.548334,H,HOOVERING,NP
1690216047549369000,17:27:27.550382,H,HOOVERING,NP
1690216057556366000,17:27:37.556906,H,HOOVERING,NP
1690216067558357000,17:27:47.559028,H,HOOVERING,NP
1690216077560230000,17:27:57.560727,H,HOOVERING,NP
1690216087562302000,17:28:07.562974,H,HOOVERING,NP
1690216097564382000,17:28:17.564888,H,HOOVERING,NP
1690216107566280000,17:28:27.566903,H,HOOVERING,NP
1690216117568520000,17:28:37.569542,H,HOOVERING,NP
1690216127571125000,17:28:47.571800,H,HOOVERING,NP
1690216137573385000,17:28:57.574543,H,HOOVERING,NP
1690216147576147000,17:29:07.576847,H,HOOVERING,NP
1690216157578469000,17:29:17.579110,H,HOOVERING,NP
1690216167580663000,17:29:27.581249,H,HOOVERING,NP
1690216177581864000,17:29:37.582513,H,HOOVERING,NP
1690216187583968000,17:29:47.585020,H,HOOVERING,NP
1690216197586306000,17:29:57.586954,H,THE_DANCE,NP
1690216207587711000,17:30:07.588162,H,THE_DANCE,NP
1690216217590171000,17:30:17.590485,H,THE_DANCE,NP
1690216227591878000,17:30:27.592470,H,THE_DANCE,NP
