U_TIME,HUMAN_TIME,MESSAGE,STAGE,P/NP
1689774959799120000,14:55:59.799122,H,NONE,NONE
1689774969800407000,14:56:09.801145,H,NONE,NONE
1689774979802669000,14:56:19.803059,H,NONE,NONE
1689774989804571000,14:56:29.804999,H,NONE,NONE
1689774999806500000,14:56:39.806909,H,NONE,NONE
1689775009808316000,14:56:49.808768,H,NONE,NONE
1689775019810203000,14:56:59.810701,H,NONE,NONE
1689775029811735000,14:57:09.812149,H,NONE,NONE
1689775039813667000,14:57:19.814130,H,NONE,NONE
1689775049815154000,14:57:29.815572,H,NONE,NONE
1689775059817163000,14:57:39.817767,H,NONE,NONE
1689775069819432000,14:57:49.819910,H,NONE,NONE
1689775079821452000,14:57:59.821826,H,NONE,NONE
1689775089823439000,14:58:09.823964,H,NONE,NONE
1689775099825605000,14:58:19.826139,H,NONE,NONE
1689775109827698000,14:58:29.828174,H,NONE,NONE
1689775119829827000,14:58:39.830314,H,NONE,NONE
1689775129831883000,14:58:49.832411,H,NONE,NONE
1689775139832873000,14:58:59.833725,H,NONE,NONE
1689775149835509000,14:59:09.836114,H,NONE,NONE
1689775159837759000,14:59:19.838357,H,NONE,NONE
1689775169839891000,14:59:29.840453,H,NONE,NONE
1689775179842078000,14:59:39.842959,H,NONE,NONE
1689775189844091000,14:59:49.848228,H,NONE,NONE
1689775199849906000,14:59:59.850601,H,NONE,NONE
1689775209853155000,15:00:09.853778,H,NONE,NONE
1689775219856022000,15:00:19.856582,H,NONE,NONE
1689775229858183000,15:00:29.858786,H,NONE,NONE
1689775239860385000,15:00:39.861000,H,NONE,NONE
1689775249861708000,15:00:49.862620,H,NONE,NONE
1689775259864234000,15:00:59.864752,H,NONE,NONE
1689775269866408000,15:01:09.867633,H,NONE,NONE
1689775279869318000,15:01:19.869719,H,NONE,NONE
1689775289871253000,15:01:29.871801,H,NONE,NONE
1689775299873997000,15:01:39.874588,H,NONE,NONE
1689775309876879000,15:01:49.877462,H,NONE,NONE
1689775319879133000,15:01:59.879660,H,NONE,NONE
1689775329881272000,15:02:09.881814,H,NONE,NONE
1689775339883384000,15:02:19.883958,H,NONE,NONE
1689775349885111000,15:02:29.885728,H,NONE,NONE
1689775359887356000,15:02:39.887860,H,NONE,NONE
1689775369889232000,15:02:49.889793,H,NONE,NONE
