U_TIME,HUMAN_TIME,MESSAGE,STAGE,P/NP
1690208286837030000,15:18:06.837032,H,UKULELE,NP
1690208296837636000,15:18:16.837675,H,UKULELE,NP
1690208306840005000,15:18:26.840253,H,UKULELE,NP
1690208316841983000,15:18:36.842404,H,UKULELE,NP
1690208326843892000,15:18:46.844497,H,UKULELE,NP
1690208336845901000,15:18:56.846798,H,RITUAL_DANCE,NP
1690208346848350000,15:19:06.849128,H,RITUAL_DANCE,NP
1690208356850724000,15:19:16.851519,H,RITUAL_DANCE,NP
1690208366853168000,15:19:26.853745,H,RITUAL_DANCE,NP
1690208376855389000,15:19:36.855988,H,RITUAL_DANCE,NP
1690208386857254000,15:19:46.858031,H,RITUAL_DANCE,NP
1690208396859965000,15:19:56.860757,H,RITUAL_DANCE,NP
1690208406862234000,15:20:06.862985,H,RITUAL_DANCE,NP
1690208416865532000,15:20:16.866045,H,RITUAL_DANCE,NP
1690208426867892000,15:20:26.870614,H,RITUAL_DANCE,NP
1690208436871716000,15:20:36.872090,H,RITUAL_DANCE,NP
1690208446873936000,15:20:46.874706,H,RITUAL_DANCE,NP
1690208456876499000,15:20:56.877095,H,RITUAL_DANCE,NP
1690208466878736000,15:21:06.879331,H,RITUAL_DANCE,NP
1690208476880992000,15:21:16.881523,H,RITUAL_DANCE,NP
1690208486883135000,15:21:26.884313,H,RITUAL_DANCE,NP
1690208496885209000,15:21:36.885737,H,RITUAL_DANCE,NP
1690208506887117000,15:21:46.887573,H,RITUAL_DANCE,NP
1690208516889200000,15:21:56.889777,H,RITUAL_DANCE,NP
1690208526890974000,15:22:06.891491,H,RITUAL_DANCE,NP
1690208536892992000,15:22:16.893838,H,RITUAL_DANCE,NP
1690208546894717000,15:22:26.895216,H,RITUAL_DANCE,NP
1690208556896394000,15:22:36.896909,H,RITUAL_DANCE,NP
1690208566899046000,15:22:46.903665,H,RITUAL_DANCE,NP
1690208576905448000,15:22:56.906091,H,RITUAL_DANCE,NP
1690208580270884000,15:23:00.271331,START,RITUAL_DANCE,NP
1690208586907590000,15:23:06.908240,H,RITUAL_DANCE,NP
1690208596909752000,15:23:16.910327,H,RITUAL_DANCE,NP
1690208606912135000,15:23:26.913101,H,RITUAL_DANCE,NP
1690208612148438000,15:23:32.148814,CHANGE_COSTUME,RITUAL_DANCE,NP
1690208616914813000,15:23:36.915204,H,RITUAL_DANCE,NP
1690208626915960000,15:23:46.916531,H,RITUAL_DANCE,NP
1690208636918180000,15:23:56.918807,H,RITUAL_DANCE,NP
1690208646920370000,15:24:06.920742,H,RITUAL_DANCE,NP
1690208656922646000,15:24:16.924482,H,RITUAL_DANCE,NP
1690208666927499000,15:24:26.927912,H,RITUAL_DANCE,NP
1690208676930181000,15:24:36.932701,H,RITUAL_DANCE,NP
1690208686934922000,15:24:46.935502,H,RITUAL_DANCE,NP
1690208696938013000,15:24:56.938916,H,RITUAL_DANCE,NP
1690208706940640000,15:25:06.941210,H,RITUAL_DANCE,NP
1690208716942849000,15:25:16.943394,H,RITUAL_DANCE,NP
