U_TIME,HUMAN_TIME,MESSAGE,STAGE,P/NP
1689783555114362000,17:19:15.114366,H,UKULELE,
1689783565115767000,17:19:25.115815,H,UKULELE,
1689783575117475000,17:19:35.118013,H,UKULELE,
1689783585119688000,17:19:45.120833,H,UKULELE,
1689783595122415000,17:19:55.122952,H,UKULELE,
1689783605123747000,17:20:05.124250,H,UKULELE,
1689783615126073000,17:20:15.126725,H,UKULELE,
1689783625127610000,17:20:25.128161,H,UKULELE,
1689783635129827000,17:20:35.130308,H,UKULELE,
1689783645131981000,17:20:45.132488,H,UKULELE,
1689783655134215000,17:20:55.134700,H,UKULELE,
1689783665135242000,17:21:05.135983,H,PLANT_CARE,
1689783675137497000,17:21:15.137989,H,PLANT_CARE,
1689783685139306000,17:21:25.139610,H,PLANT_CARE,
1689783695141101000,17:21:35.142038,H,PLANT_CARE,
1689783705143224000,17:21:45.144218,H,PLANT_CARE,
1689783715158770000,17:21:55.159300,H,PLANT_CARE,
1689783725160732000,17:22:05.161219,H,PLANT_CARE,
1689783735162862000,17:22:15.163444,H,PLANT_CARE,
1689783745164688000,17:22:25.165224,H,PLANT_CARE,
1689783755165859000,17:22:35.166058,H,PLANT_CARE,
1689783765167423000,17:22:45.168047,H,PLANT_CARE,
1689783775169598000,17:22:55.169951,H,PLANT_CARE,
1689783785171394000,17:23:05.171943,H,PLANT_CARE,
1689783795173355000,17:23:15.173584,H,PLANT_CARE,
1689783805175027000,17:23:25.175567,H,PLANT_CARE,
1689783815177129000,17:23:35.177633,H,PLANT_CARE,
1689783823542821000,17:23:43.543372,START,PLANT_CARE,
1689783825179264000,17:23:45.180039,H,PLANT_CARE,
1689783835181735000,17:23:55.182550,H,PLANT_CARE,
1689783845184101000,17:24:05.184927,H,PLANT_CARE,
1689783855186038000,17:24:15.186565,H,PLANT_CARE,
1689783857681005000,17:24:17.681206,CHANGE_COSTUME,PLANT_CARE,
1689783865187331000,17:24:25.187873,H,PLANT_CARE,
1689783875189363000,17:24:35.189793,H,PLANT_CARE,
1689783885191365000,17:24:45.192023,H,PLANT_CARE,
1689783895193752000,17:24:55.194446,H,PLANT_CARE,
1689783905195560000,17:25:05.196043,H,PLANT_CARE,
1689783915197470000,17:25:15.197907,H,PLANT_CARE,
1689783925199291000,17:25:25.199769,H,PLANT_CARE,
1689783935201282000,17:25:35.202190,H,PLANT_CARE,
1689783945203811000,17:25:45.204378,H,PLANT_CARE,
1689783955206006000,17:25:55.206922,H,PLANT_CARE,
1689783965208207000,17:26:05.208880,H,PLANT_CARE,
1689783975210431000,17:26:15.210993,H,PLANT_CARE,
1689783985212601000,17:26:25.213146,H,PLANT_CARE,
1689783995213803000,17:26:35.214260,H,PLANT_CARE,
1689784005215705000,17:26:45.216246,H,PLANT_CARE,
1689784015216812000,17:26:55.217338,H,PLANT_CARE,
1689784025218896000,17:27:05.219392,H,GRIEF_EXERCISE,
1689784035220893000,17:27:15.221320,H,GRIEF_EXERCISE,
1689784045222856000,17:27:25.223390,H,GRIEF_EXERCISE,
1689784055225010000,17:27:35.226094,H,GRIEF_EXERCISE,
1689784065227691000,17:27:45.228180,H,GRIEF_EXERCISE,
1689784075229217000,17:27:55.229748,H,GRIEF_EXERCISE,
1689784085231393000,17:28:05.231919,H,GRIEF_EXERCISE,
1689784095233576000,17:28:15.234135,H,GRIEF_EXERCISE,
1689784105239815000,17:28:25.240171,H,GRIEF_EXERCISE,
1689784115241505000,17:28:35.242019,H,GRIEF_EXERCISE,
