U_TIME,HUMAN_TIME,MESSAGE,STAGE,P/NP
1690309047302088000,19:17:27.302090,H,UKULELE,NP
1690309057303444000,19:17:37.304309,H,SPOTIFY,NP
1690309067305821000,19:17:47.306451,H,SPOTIFY,NP
1690309077307917000,19:17:57.308148,H,SPOTIFY,NP
1690309087309518000,19:18:07.310170,H,SPOTIFY,NP
1690309097310694000,19:18:17.311367,H,SPOTIFY,NP
1690309107312911000,19:18:27.313546,H,SPOTIFY,NP
1690309117315050000,19:18:37.315752,H,SPOTIFY,NP
1690309127316673000,19:18:47.317071,H,SPOTIFY,NP
1690309137318465000,19:18:57.319454,H,SPOTIFY,NP
1690309147321050000,19:19:07.321735,H,SPOTIFY,NP
1690309157323350000,19:19:17.324066,H,SPOTIFY,NP
1690309167325623000,19:19:27.326274,H,SPOTIFY,NP
1690309177327804000,19:19:37.328686,H,SPOTIFY,NP
1690309187330247000,19:19:47.330939,H,SPOTIFY,NP
1690309197332443000,19:19:57.333130,H,SPOTIFY,NP
1690309207334702000,19:20:07.335350,H,SPOTIFY,NP
1690309217336377000,19:20:17.336913,H,SPOTIFY,NP
1690309227337808000,19:20:27.338486,H,SPOTIFY,NP
1690309237340030000,19:20:37.340710,H,SPOTIFY,NP
1690309247342235000,19:20:47.342912,H,SPOTIFY,NP
1690309257344623000,19:20:57.345293,H,SPOTIFY,NP
1690309267346928000,19:21:07.347594,H,SPOTIFY,NP
1690309277348869000,19:21:17.349511,H,SPOTIFY,NP
1690309287351071000,19:21:27.351718,H,SPOTIFY,NP
1690309296895033000,19:21:36.895573,START,SPOTIFY,NP
1690309297356079000,19:21:37.356748,H,SPOTIFY,NP
1690309307358176000,19:21:47.358843,H,SPOTIFY,NP
1690309317360408000,19:21:57.361036,H,SPOTIFY,NP
1690309327362493000,19:22:07.363145,H,SPOTIFY,NP
1690309337364717000,19:22:17.365391,H,SPOTIFY,NP
1690309347366973000,19:22:27.368016,H,SPOTIFY,NP
1690309357369577000,19:22:37.370264,H,SPOTIFY,NP
1690309367371792000,19:22:47.372403,H,SPOTIFY,NP
1690309377373228000,19:22:57.373901,H,SPOTIFY,NP
1690309387374955000,19:23:07.375512,H,SPOTIFY,NP
1690309397376631000,19:23:17.377131,H,SPOTIFY,NP
1690309407378646000,19:23:27.379294,H,SPOTIFY,NP
1690309417380343000,19:23:37.380825,H,SPOTIFY,NP
1690309427382381000,19:23:47.383421,H,SPOTIFY,NP
1690309437384964000,19:23:57.385680,H,SPOTIFY,NP
1690309447405505000,19:24:07.406232,H,SPOTIFY,NP
1690309457407729000,19:24:17.408414,H,SPOTIFY,NP
1690309467408992000,19:24:27.409680,H,SPOTIFY,NP
